COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Bucks County,Doylestown Township,4201719792,2020,17356,455.2,17.3,0.0,636.2,12.6,6.9
Bucks County,Dublin Borough,4201720104,2020,2131,93.9,46.9,0.0,186.6,9.3,9.3
Bucks County,Durham Township,4201720480,2020,1133,264.8,0.0,0.0,599.1,0.0,0.0
Bucks County,East Rockhill Township,4201721760,2020,5732,331.5,0.0,0.0,582.9,7.0,7.0
Bucks County,Falls Township,4201725112,2020,33529,495.1,26.8,3.0,648.1,19.7,6.6
Bucks County,Haycock Township,4201733224,2020,2212,949.4,0.0,0.0,724.4,0.0,9.1
Bucks County,Hilltown Township,4201734952,2020,15862,725.0,0.0,0.0,889.2,8.9,8.9
Bucks County,Hulmeville Borough,4201736192,2020,999,1001.0,0.0,0.0,1019.2,0.0,0.0
Bucks County,Ivyland Borough,4201737304,2020,930,215.1,0.0,0.0,425.9,42.6,0.0
Bucks County,Langhorne Borough,4201741392,2020,1581,316.3,0.0,0.0,543.4,63.2,12.6
Bucks County,Langhorne Manor Borough,4201741416,2020,1414,636.5,141.4,0.0,835.8,27.9,13.9
Bucks County,Lower Makefield Township,4201744968,2020,32870,155.2,3.0,6.1,295.1,3.7,5.5
Bucks County,Lower Southampton Township,4201745112,2020,19184,406.6,10.4,0.0,458.7,20.9,4.2
Bucks County,Middletown Township,4201749120,2020,44923,409.6,11.1,0.0,533.9,12.9,5.3
Bucks County,Milford Township,4201749384,2020,10065,715.4,0.0,0.0,1150.9,6.0,6.0
Bucks County,Morrisville Borough,4201751144,2020,8521,363.8,11.7,0.0,332.3,16.4,4.7
Bucks County,New Britain Borough,4201753296,2020,3260,61.3,0.0,0.0,310.6,0.0,0.0
Bucks County,New Britain Township,4201753304,2020,11531,277.5,0.0,0.0,510.5,8.7,3.5
Bucks County,New Hope Borough,4201753712,2020,2533,118.4,0.0,0.0,301.2,55.5,15.9
Bucks County,Newtown Borough,4201754184,2020,2244,311.9,89.1,44.6,330.2,62.5,8.9
Bucks County,Newtown Township,4201754192,2020,19578,357.5,5.1,5.1,448.6,7.2,7.2
Bucks County,Nockamixon Township,4201754576,2020,3378,710.5,0.0,0.0,737.8,0.0,0.0
Bucks County,Northampton Township,4201754688,2020,39169,242.5,7.7,7.7,285.1,5.6,4.6
Bucks County,Penndel Borough,4201758936,2020,2157,973.6,92.7,0.0,1320.5,92.3,18.5
Bucks County,Perkasie Borough,4201759384,2020,8751,182.8,22.9,11.4,284.8,11.6,4.6
Bucks County,Plumstead Township,4201761616,2020,14488,538.4,6.9,20.7,639.4,14.1,11.3
Bucks County,Quakertown Borough,4201763048,2020,8750,720.0,45.7,0.0,875.9,46.0,13.8
Bucks County,Richland Township,4201764536,2020,13515,554.9,7.4,0.0,799.9,6.0,4.5
Bucks County,Richlandtown Borough,4201764584,2020,1287,155.4,0.0,0.0,246.5,15.4,15.4
Bucks County,Riegelsville Borough,4201764856,2020,852,0.0,0.0,0.0
Bucks County,Sellersville Borough,4201769248,2020,4282,327.0,46.7,0.0,290.1,32.8,4.7
Bucks County,Silverdale Borough,4201770744,2020,854,117.1,0.0,0.0,445.1,23.4,0.0
Bucks County,Solebury Township,4201771752,2020,8553,374.1,23.4,0.0,457.6,7.0,7.0
Bucks County,Springfield Township,4201773016,2020,5041,1229.9,0.0,0.0,1154.2,15.9,0.0
